Tweet_ID,Date,Text,Ticker,Entry_Price,Current_Price,Performance_%,Status
2074504470050877890,clashreport,2026-07-07 14:52,Zelensky Seeks US Patriot Licenses at NATO Summit in Ankara  The Ukrainian president urged Europe to immediately mass-produce anti-ballistic systems as he highlighted massive Russian troop casualties and deep drone strikes on Siberian refineries.  https://t.co/XRaaBsyyj4,EURUSD=X,1.14,1.14,0.0%,OPEN
2074504085496037479,michaeljburry,2026-07-07 14:52,DROP Metal https://t.co/H6jPNANxBY,DROP,0.0,0.0,0.0%,OPEN
2074501604573679645,clashreport,2026-07-07 14:52,"Finland President Alexander Stubb:  Well, we have to be more independent in some cases. If you, for example, look at storage of personal data, obviously a lot of Europeans are angry that their personal data is stored outside of the EU.   So we have to build our own data centers https://t.co/aw3cC0hHdt",EURUSD=X,1.14,1.14,0.0%,OPEN
2074497185077403866,clashreport,2026-07-07 14:52,"U.S. Ambassador to NATO Matthew Whitaker:  I know I’m saying something that politicians do not want to hear, maybe, but we have to stop sort of looking at defense investments as a burden to society.   If we have decided somehow that we have this threat environment for a long, https://t.co/TGTRRf48nk",NATO,41.75,41.85,0.24%,OPEN
2074494792902258916,clashreport,2026-07-07 14:52,"Finland President Alexander Stubb:  We’ve been very naive and very spoiled in Europe, thinking that we are just secure and nothing’s going to happen to our continent.   And we’ve seen several wars on our continent and outside our continent. But also the threat of being.  Earlier https://t.co/exCdUSJjzf",EURUSD=X,1.14,1.14,0.0%,OPEN
2074492215066288194,clashreport,2026-07-07 14:52,Zelensky:  I want to thank President Erdogan personally for the invitation to the NATO Summit. https://t.co/QsOHA6Sn4j,NATO,41.75,41.85,0.24%,OPEN
2074488780321358061,clashreport,2026-07-07 14:52,"NATO’s Rutte on Trump and Greenland:  The President was right. There is an issue in the Arctic when it comes to China and Russia trying to gain access. We need to make sure that the Arctic stays safe.   And it was a good discussion, because obviously Denmark is a sovereign https://t.co/0AjvMMT9gE",NATO,41.75,41.85,0.24%,OPEN
2074488387348636008,clashreport,2026-07-07 14:52,"NATO’s Rutte on Trump:  I just like the man.   I think what he is doing for NATO is great news because, yes, there is a Russian threat, there is Ukraine, so we had to step up in Europe anyway.   But he was what was necessary to bring this extra impetus to the debate, to really https://t.co/JQTyht0Kwl",EURUSD=X,1.14,1.14,0.0%,OPEN
2074487316773585201,clashreport,2026-07-07 14:52,Trump on Europe:  We could remove all our soldiers out of Europe. https://t.co/hNTCIgSNRp,EURUSD=X,1.14,1.14,0.0%,OPEN
2074476351709393344,clashreport,2026-07-07 14:52,"Trump on NATO:  I was very disappointed with NATO. And frankly, if it weren't held in Türkiye, where my friend — a very strong leader, very strong person — it's possible that I would not have attended. https://t.co/fWkCAE32Qv",NATO,41.75,41.85,0.24%,OPEN
